event_date,event_name,event_timestamp,user_pseudo_id,ltv_revenue,device_language,device_is_limited_ad_tracking,device_web_info_hostname,geo_continent,geo_sub_continent,geo_country,geo_region,geo_city,ga_session_id,page_title,page_refferer,campaign,ga_session_number,session_engaged,entrances,medium,source,page_location
20201110,first_visit,1605002482512825,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,,1,,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,session_start,1605002482512825,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,,1,,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,page_view,1605002482512825,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,(referral),1,0,1,referral,app.adspy.com,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,page_view,1605002489732341,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,(referral),1,1,,referral,app.adspy.com,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,scr_10,1605002497793032,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,(referral),1,1,,referral,app.adspy.com,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,scr_50,1605002502887659,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,(referral),1,1,,referral,app.adspy.com,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,scroll,1605002509917930,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,,1,1,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,scr_90,1605002509917930,1610703860.1605002480,0.0,zh-cn,No,kickstarter.diveroid.com,Americas,Northern America,United States,"","",1605002480,DIVEROID,,,1,1,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_5_2&utm_script=people&utm_tar=3&utm_type=vid&utm_lookalike=0&utm_lan=french&fbclid=IwAR1kXOnVEs_zEt7fO84C_heg86I6euDGU-jXI_iDOfi7-eE3Ur-JUYzRM-A
20201110,first_visit,1605057983601006,527262356.1605057984,0.0,en-gb,No,kickstarter.diveroid.com,Asia,Southeast Asia,Singapore,"",Singapore,1605057983,DIVEROID,,,1,,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_16_2&utm_script=money&utm_tar=19&utm_lookalike=0&utm_type=vid&fbclid=IwAR2bW2fGKavso1LEkPvbB9ZgBpIs00v8D76FXhOjsFUde9mEcexGIu1AOiI
20201110,session_start,1605057983601006,527262356.1605057984,0.0,en-gb,No,kickstarter.diveroid.com,Asia,Southeast Asia,Singapore,"",Singapore,1605057983,DIVEROID,,,1,,,,,https://kickstarter.diveroid.com/index_bgup?utm_ex=ex_16_2&utm_script=money&utm_tar=19&utm_lookalike=0&utm_type=vid&fbclid=IwAR2bW2fGKavso1LEkPvbB9ZgBpIs00v8D76FXhOjsFUde9mEcexGIu1AOiI
